id,category,subcategory,question,correct_answer,answer_display,unit,source,difficulty,LLaMA_3_3_70B,LLaMA_3_1_8B,LLaMA_4_Scout_17B,Qwen3_32B,OpenAI_OSS_20B,NVIDIA_Nemotron_120B,OpenAI_OSS_120B,Gemma_4_31B,MiniMax_M2_5,Baidu_CoBuddy,LiquidAI_Instruct,OpenAI_OSS_20B_OR,Owl_Alpha,Free_Router
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,"704,753,890",cases,disease.sh,Medium,"464,811,269","I cannot verify the total number of globally reported disease cases as of May 13, 2026.",I don't have access to real-time data or future updates. My training data only goes up to 2022.,"<think>
Okay, the user is asking for the total number of globally reported disease cases as of May 13, 2026. Let me think about how to approach this.

First, I need to check if there's any official",,"Okay, the user is asking for the total number of globally reported disease cases as of May 13, 2026. Hmm, that's a very specific date in the future. 

First, I need to consider that we",Data not available,ERROR: Provider returned error,I don't have this specific data.,EMPTY_RESPONSE,"The total number of globally reported disease cases as of May 13, 2026, is approximately 1.5 billion.",0,"1,245,890",EMPTY_RESPONSE
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 13, 2026?",704753890,"704,753,890",cases,disease.sh,Medium,"8,000,000,000","4,555,000,000","I can't provide real-time or future data. However, according to the data available up to 2020, approximately  4.8 million people worldwide have been infected by COVID-19.","<think>
Okay, the user is asking for the total number of people infected worldwide as of May 13, 2026. But wait, that's a future date. I can't know the exact number because it's not happened",,"Okay, the user is asking for the total number of people worldwide infected by a disease as of May 13, 2026. Hmm, this is tricky because they didn't specify which disease. 

I recall that in my",7.2 billion,ERROR: Provider returned error,0,EMPTY_RESPONSE,"Approximately 8 billion people have been infected by disease worldwide as of May 13, 2026.",1.2 billion,"1,200,000,000",EMPTY_RESPONSE
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?",704753890,"704,753,890",cases,disease.sh,Hard,"758,121,321","I cannot verify the global cumulative disease case count as of May 13, 2026.","I don't have access to real-time data or specific information from disease.sh as of May 13, 2026. For the most accurate and up-to-date information, I recommend checking directly on disease.sh or other reliable health data sources.","<think>
Okay, let's see. The user is asking for the global cumulative disease case count as of May 13, 2026, according to disease.sh. First, I need to check if I have access to that data",,"We need to answer with a specific number, percentage, or country name. The question: ""According to disease.sh, what is the global cumulative disease case count as of May 13, 2026?"" We need to fetch data",Data not available,ERROR: Provider returned error,I don't have access to real-time data or the ability to query the disease.sh API. I cannot provide this specific number.,EMPTY_RESPONSE,"The global cumulative disease case count as of May 13, 2026, is approximately 1.2 billion cases.","1,500,000,000","1,127,453,892",EMPTY_RESPONSE
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 13, 2026?",7010681,"7,010,681",deaths,disease.sh,Medium,"464,091,819","4,555,111,111","I can't provide real-time or future data. However, according to the World Health Organization, as of May 13, 2020, there were 308,269 reported deaths globally due to COVID-19.","<think>
Okay, the user is asking for the total number of deaths globally due to disease as of May 13, 2026. First, I need to check if I have access to real-time data. Since I don't",,"Okay, the user is asking for the total number of global deaths due to disease as of May 13, 2026. Hmm, this is tricky because I don't have real-time data access, and my knowledge cutoff is July",Data not available.,ERROR: Provider returned error,ERROR: Provider returned error,EMPTY_RESPONSE,"Approximately 1.2 million deaths have been recorded globally due to disease as of May 13, 2026.",Data not available.,"As of my last knowledge update in June 2024, I do not have the specific number of total deaths recorded globally due to disease as of May 13, 2026.",EMPTY_RESPONSE
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 13, 2026?",7010681,"7,010,681",deaths,disease.sh,Medium,I'm not able to provide real-time data.,"I cannot provide information on the global disease death toll as of May 13, 2026. Is there anything else I can help you with?","I don't have access to real-time data or the ability to predict future events, including disease death tolls as of a specific date in the future, such as May 13, 2026.","<think>
Okay, the user is asking for the global disease death toll as of May 13, 2026. Let me think about how to approach this.

First, I need to remember that my role is to provide factual health",,"Okay, the user is asking for the global disease death toll as of May 13, 2026. Hmm, this is tricky because I don't have real-time data access, and my knowledge cutoff is July 202",56 million​,ERROR: Provider returned error,ERROR: Provider returned error,EMPTY_RESPONSE,"The global disease death toll as of May 13, 2026, is approximately 1.2 million.",56.3 million,"As of my last knowledge update in early 2025, I do not have the specific global disease death toll for May 13, 2026.",EMPTY_RESPONSE
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 13, 2026?",7010681,"7,010,681",deaths,disease.sh,Hard,"633,308,219","1,444,111,111","I cannot provide information that may be outdated or unverified. However, I can tell you that according to disease.sh, as of May 13, 2024,  6,951,215 people have died from COVID-19. For","<think>
Okay, let's see. The user is asking for the number of people who have died from disease globally according to disease.sh as of May 13, 2026. First, I need to check if I have access",,"We need to answer: ""How many people have died from disease globally according to disease.sh as of May 13, 2026?"" The user wants a specific number, percentage, or country name. No extra text. We need","7,000,000",ERROR: Provider returned error,"I don't have access to real-time data from disease.sh or any external data sources. My knowledge is limited to information available through early 2024, and I cannot retrieve live statistics or verify current figures.

I recommend checking disease.sh directly or referring to authoritative sources like the WHO for the most current global mortality statistics.",EMPTY_RESPONSE,"45,000","I’m sorry, but I can’t provide that information.","17,100,000",EMPTY_RESPONSE
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 13, 2026?",22123398,"22,123,398",active cases,disease.sh,Hard,I'm not able to provide real-time data.,"I cannot verify the current number of active disease cases worldwide as of May 13, 2026.","I don't have access to real-time data or the ability to predict future dates. However, I can suggest some reliable sources where you may find the information:

1. World Health Organization (WHO) - [www.who.int](http://www.w","<think>
Okay, the user is asking for the current number of active disease cases worldwide as of May 13, 2026. Let me think about how to approach this.

First, I need to check if there's any official",,"Okay, the user is asking for the current number of active disease cases worldwide as of May 13, 2026. Hmm, this is tricky because ""disease"" is too broad—it could mean anything from the common cold",0,ERROR: Provider returned error,"I don't have access to real-time data, and I cannot provide information about future disease cases. My knowledge has a cutoff date and I cannot access current or future statistics.",EMPTY_RESPONSE,"The current number of active disease cases worldwide as of May 13, 2026, is approximately 1.2 billion.",0,"I don't have access to real-time disease surveillance data or current epidemiological statistics. My knowledge has a training cutoff, and I cannot provide the specific number of active disease cases worldwide as of May 13, 2026.

For the most current global disease case counts, please refer to the World Health Organization (WHO) or your national public health authority.",EMPTY_RESPONSE
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 13, 2026?",22123398,"22,123,398",active cases,disease.sh,Hard,"464,819,211",I cannot provide information on the current number of people sick with disease globally. Is there anything else I can help you with?,I don't have access to real-time data.,"<think>
Okay, the user is asking how many people are currently sick with disease globally as of May 13, 2026. Let me break this down.

First, the question is about the current number of people sick with any",,"Okay, the user is asking for the current number of people sick with a disease globally as of May 13, 2026. Hmm, this is tricky because they didn't specify which disease. 

I recall that in my",Data not available.,ERROR: Provider returned error,Unable to answer,EMPTY_RESPONSE,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I’m sorry, but I don’t have that information.",1.3 billion,0
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 13, 2026?",675619811,"675,619,811",recovered,disease.sh,Medium,"464,872,111","2,567,819,012","I don't have access to real-time data or future projections. However, according to available COVID-19 data up to May 2022, approximately  752 million people have recovered globally.","<think>
Okay, the user is asking for the number of people who have recovered from a disease globally as of May 13, 2026. First, I need to figure out which disease they're referring to. Since the question",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to real-time data, and my knowledge has a cutoff date. I cannot provide current statistics for May 13, 2026.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"6,500,000,000","21,000,000",0
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 13, 2026?",675619811,"675,619,811",recovered,disease.sh,Medium,"434,819,011","I cannot verify the global disease recovery count as of May 13, 2026.",I don't have access to real-time data or future projections.,"<think>
Okay, the user is asking for the global disease recovery count as of May 13, 2026. Let me think about how to approach this.

First, I need to check if there's any official data source that",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to future data or real-time statistics. My knowledge is limited to information available up to my training cutoff, and I cannot provide recovery counts for dates in the future.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,"1,200,000,000",0
Q011,Disease Statistics,Global,"How many critical disease cases are there globally as of May 13, 2026?",34794,"34,794",critical cases,disease.sh,Hard,"8,743,219",I cannot provide real-time data.,"I don't have access to real-time data or future projections. However, I can suggest that you look for the latest information from reputable sources such as the World Health Organization (WHO) for the most accurate and up-to-date statistics.","<think>
Okay, the user is asking for the number of critical disease cases globally as of May 13, 2026. First, I need to check if I have access to real-time data. Since I don't, I",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,I don't have this specific data.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,"1,247,893",Unable to provide
Q012,Disease Statistics,Global,"What is the number of patients in critical condition due to disease worldwide as of May 13, 2026?",34794,"34,794",critical cases,disease.sh,Hard,"7,851,219","I cannot verify the number of patients in critical condition due to disease worldwide as of May 13, 2026.",I don't have access to real-time data or future projections.,"<think>
Okay, the user is asking for the number of patients in critical condition due to disease worldwide as of May 13, 2026. Let me think about how to approach this.

First, I need to check if there",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data unavailable,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to real-time data on the number of patients in critical condition worldwide, and this specific information is not tracked in any comprehensive global database. This type of granular, moment-to-moment data on critical patients across all hospitals worldwide does not exist in an accessible format.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,"1,247,000",ERROR: Provider returned error
Q013,Disease Statistics,India,"What is the total number of disease cases reported in India as of May 13, 2026?",45035393,"45,035,393",cases,disease.sh,Medium,I'm not able to provide real-time data.,"I cannot verify the total number of disease cases reported in India as of May 13, 2026.",I can't provide that information.,"<think>
Okay, the user is asking for the total number of disease cases reported in India as of May 13, 2026. Let me think about how to approach this.

First, I need to check if there's any",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to real-time data or information about future dates. My knowledge is limited to information available up to my training data, and I cannot provide disease case counts for May 13, 2026.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"1,500,000","1,247,853",Data not available.
