id,category,subcategory,question,correct_answer,answer_display,unit,source,difficulty,LLaMA_3_3_70B,LLaMA_3_1_8B,LLaMA_4_Scout_17B,Qwen3_32B,OpenAI_OSS_20B,NVIDIA_Nemotron_120B,OpenAI_OSS_120B,Gemma_4_31B,MiniMax_M2_5,Baidu_CoBuddy,LiquidAI_Instruct,OpenAI_OSS_20B_OR,Owl_Alpha,Free_Router,LLaMA_3_3_70B_score,LLaMA_3_1_8B_score,LLaMA_4_Scout_17B_score,Qwen3_32B_score,OpenAI_OSS_20B_score,NVIDIA_Nemotron_120B_score,OpenAI_OSS_120B_score,Gemma_4_31B_score,MiniMax_M2_5_score,Baidu_CoBuddy_score,LiquidAI_Instruct_score,OpenAI_OSS_20B_OR_score,Owl_Alpha_score,Free_Router_score
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 10, 2026?",704753890,"704,753,890",cases,disease.sh,Medium,"541,876,219","I cannot verify the total number of globally reported disease cases as of May 10, 2026.",I don't have access to real-time data or future projections.,"<think>
Okay, the user is asking for the total number of globally reported disease cases as of May 10, 2026. Let me think about how to approach this.

First, I need to check if there's any official",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Unknown,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"I don't have access to real-time data or information beyond my training cutoff. I cannot provide the exact number of globally reported disease cases as of May 10, 2026.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0
Q002,Disease Statistics,Global,"How many people worldwide have been infected by disease in total as of May 10, 2026?",704753890,"704,753,890",cases,disease.sh,Medium,"8,000,000,000","4,555,111,000","I can't provide real-time data or future projections. However, I can tell you that according to the World Health Organization (WHO), as of 2020, there have been 154 million reported cases of infectious diseases worldwide.","<think>
Okay, the user is asking for the total number of people infected worldwide as of May 10, 2026. But wait, that's a future date. I can't know the exact number because it's not happened",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"7,500,000,000",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"704,753,892","Cannot answer. The question is too vague (""disease"" is not specific) and the date (May 10, 2026) is in the future. Please specify which disease you are asking about.",0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q003,Disease Statistics,Global,"According to disease.sh, what is the global cumulative disease case count as of May 10, 2026?",704753890,"704,753,890",cases,disease.sh,Hard,"758,231,091","I cannot verify the global cumulative disease case count as of May 10, 2026.","I don't have access to real-time data or specific information from disease.sh as of May 10, 2026.","<think>
Okay, let's see. The user is asking for the global cumulative disease case count as of May 10, 2026, according to disease.sh. First, I need to check if I have access to that data",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"1,600,000,000","1,127,483,962","800,000,000",0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Q004,Disease Statistics,Global,"How many total deaths have been recorded globally due to disease as of May 10, 2026?",7010681,"7,010,681",deaths,disease.sh,Medium,"428,917,812","4,555,111,111","I cannot provide information that is not available yet, as the date you mentioned (May 10, 2026) is in the future.","<think>
Okay, the user is asking for the total number of deaths globally due to disease as of May 10, 2026. First, I need to check if there's a reliable source that provides this data. The World",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"As of May 10, 2026, the total number of recorded global deaths due to disease is approximately 600,000,000.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q005,Disease Statistics,Global,"What is the global disease death toll as of May 10, 2026?",7010681,"7,010,681",deaths,disease.sh,Medium,"7,942,091","I cannot verify the global disease death toll as of May 10, 2026.",I don't have access to real-time data.,"<think>
Okay, the user is asking for the global disease death toll as of May 10, 2026. Let me think about how to approach this.

First, I need to remember that my role is to provide factual health",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,56 million,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I cannot provide this information as it asks for data from a future date (May 10, 2026). Today's date is November 17, 2025.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,56.3 million,"I don't have access to real-time data or information beyond my training cutoff. I cannot provide the global disease death toll as of May 10, 2026.",56.5 million,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q006,Disease Statistics,Global,"How many people have died from disease globally according to disease.sh as of May 10, 2026?",7010681,"7,010,681",deaths,disease.sh,Hard,"633,399,441","1,444,111,111","I can't provide real-time or future data. However, I can give you the number as of my last update. 

According to disease.sh, as of May 10, 2023, the total COVID-19 deaths globally is 6,","<think>
Okay, let's see. The user is asking for the number of people who have died from disease globally according to disease.sh as of May 10, 2026. First, I need to check if I have access",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"6,940,000",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"11,000,000","17,000,000",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q007,Disease Statistics,Global,"What is the current number of active disease cases worldwide as of May 10, 2026?",22123398,"22,123,398",active cases,disease.sh,Hard,I'm not able to provide real-time data.,"I cannot verify the current number of active disease cases worldwide as of May 10, 2026.",I don't have access to real-time data.,"<think>
Okay, the user is asking for the current number of active disease cases worldwide as of May 10, 2026. Let me think about how to approach this.

First, I need to check if there's any official",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have access to real-time data, and May 2026 is in the future relative to my knowledge (December 2024). Additionally, ""active disease cases worldwide"" is very vague—it could refer to COVID-19, other infectious diseases, or all diseases combined. I cannot provide this information.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"I don't have access to real-time data or current statistics. My knowledge has a training cutoff, and I cannot provide the specific number of active disease cases worldwide as of May 10, 2026.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q008,Disease Statistics,Global,"How many people are currently sick with disease globally as of May 10, 2026?",22123398,"22,123,398",active cases,disease.sh,Hard,"464,819,211",I cannot provide information on the current number of people sick with disease globally. Is there anything else I can help you with?,I don't have access to real-time data.,"<think>
Okay, the user is asking how many people are currently sick with disease globally as of May 10, 2026. Let me break this down.

First, I need to consider the date: May 10,",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"I don't have this information. There is no single global count of all people currently sick with disease, as this data isn't collected or tracked in a unified way worldwide.",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"I don't have access to real-time global disease surveillance data as of May 10, 2026. The exact number of people currently sick with disease globally at any given moment is not a single tracked statistic and would depend on how",Data not available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0
Q009,Disease Statistics,Global,"How many people have recovered from disease globally as of May 10, 2026?",675619811,"675,619,811",recovered,disease.sh,Medium,"384,219,001","2,567,819,000",I don't have access to real-time data or information beyond my last update in 2023.,"<think>
Okay, the user is asking for the number of people who have recovered from a disease globally as of May 10, 2026. First, I need to figure out which disease they're referring to. Since the question",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,"1,237,845,312",ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,I don't have this specific data.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,"As of May 10, 2026, the global number of people who have recovered from disease is not a single, universally tracked statistic. Recovery data is disease-specific and not aggregated into one global figure. For disease-specific recovery numbers","I don't have access to real-time or future data for global disease recoveries as of May 10, 2026.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q010,Disease Statistics,Global,"What is the global disease recovery count as of May 10, 2026?",675619811,"675,619,811",recovered,disease.sh,Medium,"384,219,001","I cannot verify the global disease recovery count as of May 10, 2026.",I don't have access to real-time data or future projections.,"<think>
Okay, the user is asking for the global disease recovery count as of May 10, 2026. Let me think about how to approach this.

First, I need to check if there's any official data source that",,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,Data not available.,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Provider returned error,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,ERROR: Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free mod,0,"I don't have access to real-time global disease recovery data as of May 10, 2026. My knowledge has a training cutoff, and I cannot retrieve live statistics. For the most current global recovery figures, please consult official",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
