id,category,subcategory,question,correct_answer,difficulty,model,status,extracted,rel_error
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,LLaMA_3_3_70B,partial,464811269.0,0.3405
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,LLaMA_3_1_8B,refusal,,
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,LLaMA_4_Scout_17B,refusal,,
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,Qwen3_32B,hallucinated,2026.0,1.0
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,OpenAI_OSS_20B,refusal,,
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,NVIDIA_Nemotron_120B,hallucinated,2026.0,1.0
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,OpenAI_OSS_120B,refusal,,
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,Gemma_4_31B,error,,
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,MiniMax_M2_5,refusal,,
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,Baidu_CoBuddy,error,,
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,LiquidAI_Instruct,hallucinated,2026.0,1.0
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,OpenAI_OSS_20B_OR,hallucinated,0.0,1.0
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,Owl_Alpha,hallucinated,1245890.0,0.9982
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,Free_Router,error,,
Q001,Disease Statistics,Global,"What is the total number of globally reported disease cases as of May 13, 2026?",704753890,Medium,Groq_Compound,error,,
